Año,Homicidios_Año_actual_FE,Tasa_Año_actual_FE,Porcentaje_de_cambio_FE,Homicidios_Año_actual_MA,Tasa_Año_actual_MA,Porcentaje_de_cambio_MA
2016,27,0.8982248083703905,0.0,112,3.725969575462361,0.0
2017,36,1.189994132667818,32.48288419318675,99,3.2724838648365,-12.170945077284676
2018,38,1.2481437966760618,4.886550480537198,110,3.6130478324833364,10.406895242670712
2019,27,0.8812533903776268,-29.394882807213612,77,2.513204113299158,-30.440884543403037
2020,16,0.5189558349123645,-41.11162117742479,63,2.0433885999674355,-18.693886057467164
2021,22,0.7091261309755964,36.644793886043445,72,2.3207764286474064,13.57489361956857
