Año,Homicidios_Año_actual,Tasa_Año_actual,Porcentaje_de_comparacion
2016,65,2.1623930571879777,0.0
2017,56,1.8511019841499394,-13.846153846153847
2018,57,1.8722156950140925,1.7857142857142856
2019,50,1.6319507229215313,-12.280701754385964
2020,28,0.908172711096638,-44.0
2021,44,1.4182522619511928,57.14285714285714
