Id,Victimas,Hora,Lugar,Calle,Longitud,Latitud,Acusado,Año,Mes,Dia,Rol,Victima,Sexo,Edad,Barrio,nombre_comuna,url_imagen
2019-0053,1,17,AVENIDA,ASTURIAS AV.,-58.46442668,-34.66004784,AUTO,2019,6,14,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,49,Parque Avellaneda,"Villa Soldati, Villa Riachuelo y Villa Lugano",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/022f0c2fbbfaed41f40def9d75c5b3c91396468a.png?itok=iv4ViNBj
2019-0054,1,3,CALLE,GANDARA,-58.48222035,-34.58428769,OBJETO FIJO,2019,6,20,CONDUCTOR,MOTO,MASCULINO,21,Parque Chas,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/201b469a4cba2969d4f9b420c0d213b7076fe04a.png?itok=Kitp3wH3
2019-0055,1,19,AVENIDA,"GUEVARA, TRINIDAD",-58.36819005,-34.60283208,PASAJEROS,2019,6,20,CONDUCTOR,MOTO,MASCULINO,47,Puerto Madero,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/149e1bd7b6261809120f1a24e8a9ff68c4c2f276.png?itok=0yyi0Fs6
2019-0056,1,17,AVENIDA,BOYACA AV.,-58.45877601,-34.62330939,AUTO,2019,6,29,PEATON,PEATON,FEMENINO,75,Flores,Flores y Parque Chacabuco,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/c7164f279046a0bb37f9328dcd347e55d47b6df2.png?itok=GYFzbPP1
2019-0057,1,19,CALLE,ARTILLEROS,-58.44196498,-34.55760517,AUTO,2019,7,5,PEATON,PEATON,FEMENINO,63,Belgrano,"Núñez, Belgrano y Colegiales",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/15650c4cf48c7cd32b063e00f33f1679bb3837ca.png?itok=iXE5u5Cm
2019-0058,1,9,AUTOPISTA,AUTOPISTA PERITO MORENO,-58.50622631,-34.63627822,PASAJEROS,2019,7,10,CONDUCTOR,MOTO,MASCULINO,39,Liniers,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/fa7c446dcedeac7af5b742b68bf1cf2fba0d3a6a.png?itok=ltOadQBM
2019-0059,1,22,CALLE,15 DE NOVIEMBRE DE 1889,-58.38410880,-34.63099197,PASAJEROS,2019,7,13,CONDUCTOR,MOTO,MASCULINO,30,Constitución,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/149e1bd7b6261809120f1a24e8a9ff68c4c2f276.png?itok=0yyi0Fs6
2019-0060,1,11,AVENIDA,"ACOSTA, MARIANO AV.",-58.48100602,-34.63504312,AUTO,2019,7,17,PEATON,PEATON,FEMENINO,78,Vélez Sarsfield,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/fa7c446dcedeac7af5b742b68bf1cf2fba0d3a6a.png?itok=ltOadQBM
2019-0061,1,18,CALLE,11 DE SEPTIEMBRE DE 1888,-58.45200171,-34.55781320,PASAJEROS,2019,7,17,PEATON,PEATON,FEMENINO,58,Belgrano,"Núñez, Belgrano y Colegiales",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/15650c4cf48c7cd32b063e00f33f1679bb3837ca.png?itok=iXE5u5Cm
2019-0062,1,23,AVENIDA,"PINO, VIRREY DEL",-58.44462132,-34.56201105,PASAJEROS,2019,8,1,PEATON,PEATON,FEMENINO,60,Belgrano,"Núñez, Belgrano y Colegiales",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/15650c4cf48c7cd32b063e00f33f1679bb3837ca.png?itok=iXE5u5Cm
2019-0063,1,1,AVENIDA,FOREST AV.,-58.45220688,-34.58711712,PASAJEROS,2019,8,4,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,42,Chacarita,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/201b469a4cba2969d4f9b420c0d213b7076fe04a.png?itok=Kitp3wH3
