Año,Homicidios_EJ,Homicidios_JD,Poblacion,Tasa_EJ,Tasa_JD,Porcentaje_de_comparacion
2016,63,76,3005929,2.0958578861975785,2.528336497635174,43.247861143759536
2017,65,70,3025225,2.148600517316894,2.3138774801874242,16.52769628705304
2018,69,79,3044521,2.2663663676486383,2.59482526151076,32.84588938621216
2019,57,47,3063818,1.8604238241305457,1.5340336795462395,-32.63901445843062
2020,30,49,3083114,0.9730421904606835,1.5893022444191165,61.6260053958433
2021,53,41,3102410,1.7083493155321186,1.3215532440908841,-38.67960714412344
